  PID  PPID USER                 ELAPSED COMM
  727     1 bcb              06-04:09:16 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  728     1 bcb              06-04:09:16 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  731     1 bcb              06-04:09:16 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  732     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  733     1 root             06-04:09:16 /usr/sbin/filecoordinationd
  734     1 bcb              06-04:09:16 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  735     1 bcb              06-04:09:16 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  736     1 bcb              06-04:09:16 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  737     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  738     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  739     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  740     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
  741     1 bcb              06-04:09:16 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  742     1 bcb              06-04:09:16 /System/Library/CoreServices/iconservicesagent
  743     1 bcb              06-04:09:16 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  744     1 bcb              06-04:09:16 /usr/libexec/intelligentroutingd
  745     1 bcb              06-04:09:16 /System/Library/CoreServices/audioaccessoryd
  747     1 root             06-04:09:15 automountd
  750     1 bcb              06-04:09:15 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  751     1 bcb              06-04:09:15 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  752     1 bcb              06-04:09:15 /usr/libexec/replayd
  753     1 bcb              06-04:09:15 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  756     1 bcb              06-04:09:15 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension
  757     1 bcb              06-04:09:15 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  758     1 bcb              06-04:09:15 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem
  759     1 bcb              06-04:09:15 /usr/libexec/findmylocateagent
  760     1 bcb              06-04:09:15 /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
  761     1 bcb              06-04:09:15 /usr/libexec/swtransparencyd
  764     1 root             06-04:09:15 /usr/libexec/kernelmanager_helper
  765     1 _oahd            06-04:09:15 /usr/libexec/rosetta/oahd
  766     1 bcb              06-04:09:15 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  770     1 bcb              06-04:09:15 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  771     1 bcb              06-04:09:15 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  772     1 bcb              06-04:09:15 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
